24	0.34	59	0.66
79	0.88	82	0.12
62	0.74	0	0.26
56	0.05	72	0.95
84	0.25	43	0.75
7	0.28	74	0.72
56	0.09	19	0.91
41	0.63	18	0.37
72	0.88	29	0.12
37	0.61	50	0.39
54	0.08	31	0.92
63	0.92	5	0.08
32	0.78	99	0.22
66	0.16	23	0.84
52	0.12	73	0.88
88	0.29	78	0.71
39	0.31	51	0.69
70	0.17	65	0.83
80	0.91	19	0.09
83	0.09	67	0.91
14	0.44	72	0.56
41	0.68	65	0.32
40	0.38	55	0.62
1	0.62	83	0.38
15	0.49	50	0.51
40	0.1	32	0.9
40	0.2	32	0.8
40	0.3	32	0.7
40	0.4	32	0.6
40	0.5	32	0.5
40	0.6	32	0.4
40	0.7	32	0.3
40	0.8	32	0.2
40	0.9	32	0.1
40	1	32	0
-15	0.16	-67	0.84
-19	0.13	-56	0.87
-67	0.29	-28	0.71
-40	0.82	-90	0.18
-25	0.29	-86	0.71
-46	0.6	-21	0.4
-15	0.48	-91	0.52
-93	0.53	-26	0.47
-1	0.49	-54	0.51
-24	0.99	-13	0.01
-67	0.79	-37	0.21
-58	0.56	-80	0.44
-96	0.63	-38	0.37
-55	0.59	-77	0.41
-29	0.13	-76	0.87
-57	0.84	-90	0.16
-29	0.86	-30	0.14
-8	0.66	-95	0.34
-35	0.39	-72	0.61
-26	0.51	-76	0.49
-73	0.73	-54	0.27
-66	0.49	-92	0.51
-9	0.56	-56	0.44
-61	0.96	-56	0.04
-4	0.56	-80	0.44
63	0.57	-91	0.43
54	0.94	-82	0.06
98	0.21	-70	0.79
52	0.63	-8	0.37
96	0.61	-67	0.39
63	0.57	-47	0.43
19	0.61	-70	0.39
81	0.41	-100	0.59
96	0.08	-73	0.92
27	0.11	-31	0.89
83	0.13	-39	0.86
77	0.74	-23	0.26
28	0.09	-33	0.91
75	0.93	-90	0.07
67	0.99	-3	0.01
58	0.48	-5	0.52
95	0.93	-55	0.07
30	0.03	-51	0.97
82	0.14	-26	0.86
88	0.12	-90	0.88
45	0.13	-78	0.87
17	0.96	-48	0.04
2	0.62	-49	0.38
96	0.72	-59	0.28
98	0.5	-24	0.5
60	0.5	-20	0.5
60	0.5	-30	0.5
60	0.5	-40	0.5
60	0.5	-50	0.5
60	0.5	-60	0.5
60	0.5	-70	0.5
